#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.239447E+00   0.150276E+05   0.108990E+05   0.158967E+01   0.158710E+01   0.000000E+00   0.143784E+05   0.143784E+05   0.143784E+05  -0.342178E-01   0.142934E+05   0.137502E+05   0.411778E+01
   0.243974E+00   0.146113E+05   0.104777E+05   0.148598E+01   0.148358E+01   0.000000E+00   0.139613E+05   0.139613E+05   0.139613E+05  -0.332251E-01   0.138825E+05   0.133283E+05   0.412304E+01
   0.248501E+00   0.142181E+05   0.101099E+05   0.139186E+01   0.138962E+01   0.000000E+00   0.135721E+05   0.135721E+05   0.135721E+05  -0.322989E-01   0.134981E+05   0.129418E+05   0.406238E+01
   0.253027E+00   0.138519E+05   0.981314E+04   0.130719E+01   0.130508E+01   0.000000E+00   0.132168E+05   0.132168E+05   0.132168E+05  -0.314534E-01   0.131456E+05   0.125987E+05   0.392272E+01
   0.257554E+00   0.135126E+05   0.958732E+04   0.123112E+01   0.122913E+01   0.000000E+00   0.128953E+05   0.128953E+05   0.128953E+05  -0.306883E-01   0.128250E+05   0.122979E+05   0.371432E+01
   0.262081E+00   0.131972E+05   0.941823E+04   0.116242E+01   0.116054E+01   0.000000E+00   0.126030E+05   0.126030E+05   0.126030E+05  -0.299927E-01   0.125321E+05   0.120319E+05   0.346396E+01
   0.266607E+00   0.129014E+05   0.928302E+04   0.109966E+01   0.109788E+01   0.000000E+00   0.123324E+05   0.123324E+05   0.123325E+05  -0.293488E-01   0.122605E+05   0.117896E+05   0.320544E+01
   0.271134E+00   0.126194E+05   0.915605E+04   0.104148E+01   0.103979E+01   0.000000E+00   0.120748E+05   0.120748E+05   0.120748E+05  -0.287356E-01   0.120019E+05   0.115581E+05   0.297034E+01
   0.275661E+00   0.123452E+05   0.901497E+04   0.986715E+00   0.985116E+00   0.000000E+00   0.118215E+05   0.118215E+05   0.118215E+05  -0.281328E-01   0.117484E+05   0.113260E+05   0.278088E+01
   0.280187E+00   0.120743E+05   0.884581E+04   0.934616E+00   0.933102E+00   0.000000E+00   0.115666E+05   0.115666E+05   0.115666E+05  -0.275262E-01   0.114944E+05   0.110858E+05   0.264620E+01
   0.284714E+00   0.118049E+05   0.864544E+04   0.884852E+00   0.883419E+00   0.000000E+00   0.113080E+05   0.113080E+05   0.113081E+05  -0.269109E-01   0.112377E+05   0.108358E+05   0.256236E+01
   0.289240E+00   0.115376E+05   0.842049E+04   0.837438E+00   0.836082E+00   0.000000E+00   0.110474E+05   0.110474E+05   0.110474E+05  -0.262907E-01   0.109798E+05   0.105789E+05   0.251549E+01
   0.293767E+00   0.112746E+05   0.818395E+04   0.792571E+00   0.791288E+00   0.000000E+00   0.107886E+05   0.107886E+05   0.107886E+05  -0.256746E-01   0.107241E+05   0.103216E+05   0.248678E+01
   0.298294E+00   0.110185E+05   0.795091E+04   0.750486E+00   0.749272E+00   0.000000E+00   0.105361E+05   0.105361E+05   0.105361E+05  -0.250739E-01   0.104747E+05   0.100708E+05   0.245763E+01
   0.302820E+00   0.107722E+05   0.773489E+04   0.711354E+00   0.710204E+00   0.000000E+00   0.102945E+05   0.102945E+05   0.102946E+05  -0.244990E-01   0.102357E+05   0.983291E+04   0.241394E+01
   0.307347E+00   0.105376E+05   0.754496E+04   0.675215E+00   0.674123E+00   0.000000E+00   0.100670E+05   0.100670E+05   0.100670E+05  -0.239575E-01   0.100100E+05   0.961228E+04   0.234847E+01
   0.311874E+00   0.103158E+05   0.738406E+04   0.641942E+00   0.640904E+00   0.000000E+00   0.985476E+04   0.985476E+04   0.985477E+04  -0.234524E-01   0.979885E+04   0.941027E+04   0.226132E+01
   0.316400E+00   0.101061E+05   0.724901E+04   0.611256E+00   0.610268E+00   0.000000E+00   0.965681E+04   0.965681E+04   0.965683E+04  -0.229813E-01   0.960144E+04   0.922513E+04   0.215858E+01
   0.320927E+00   0.990674E+04   0.713205E+04   0.582783E+00   0.581840E+00   0.000000E+00   0.947041E+04   0.947041E+04   0.947042E+04  -0.225377E-01   0.941521E+04   0.905275E+04   0.204979E+01
   0.325453E+00   0.971529E+04   0.702347E+04   0.556130E+00   0.555229E+00   0.000000E+00   0.929200E+04   0.929200E+04   0.929201E+04  -0.221131E-01   0.923686E+04   0.888808E+04   0.194502E+01
   0.329980E+00   0.952950E+04   0.691428E+04   0.530958E+00   0.530098E+00   0.000000E+00   0.911825E+04   0.911825E+04   0.911826E+04  -0.216996E-01   0.906335E+04   0.872655E+04   0.185244E+01
   0.334507E+00   0.934764E+04   0.679809E+04   0.507019E+00   0.506198E+00   0.000000E+00   0.894673E+04   0.894673E+04   0.894673E+04  -0.212914E-01   0.889240E+04   0.856495E+04   0.177664E+01
   0.339033E+00   0.916871E+04   0.667211E+04   0.484165E+00   0.483380E+00   0.000000E+00   0.877611E+04   0.877611E+04   0.877612E+04  -0.208854E-01   0.872277E+04   0.840181E+04   0.171819E+01
   0.343560E+00   0.899234E+04   0.653707E+04   0.462331E+00   0.461583E+00   0.000000E+00   0.860625E+04   0.860625E+04   0.860626E+04  -0.204811E-01   0.855424E+04   0.823733E+04   0.167416E+01
   0.348087E+00   0.881889E+04   0.639661E+04   0.441523E+00   0.440808E+00   0.000000E+00   0.843798E+04   0.843798E+04   0.843799E+04  -0.200807E-01   0.838751E+04   0.807309E+04   0.163939E+01
   0.352613E+00   0.864920E+04   0.625600E+04   0.421778E+00   0.421096E+00   0.000000E+00   0.827287E+04   0.827287E+04   0.827287E+04  -0.196878E-01   0.822396E+04   0.791155E+04   0.160800E+01
   0.357140E+00   0.848435E+04   0.612065E+04   0.403140E+00   0.402488E+00   0.000000E+00   0.811265E+04   0.811265E+04   0.811266E+04  -0.193065E-01   0.806519E+04   0.775529E+04   0.157488E+01
   0.361667E+00   0.832523E+04   0.599473E+04   0.385623E+00   0.384999E+00   0.000000E+00   0.795876E+04   0.795876E+04   0.795877E+04  -0.189402E-01   0.791251E+04   0.760629E+04   0.153670E+01
