#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.222043E-04   0.246660E+06   0.246660E+06   0.328873E+06   0.328872E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245515E+06   0.245515E+06   0.869014E+00
   0.224274E-04   0.246660E+06   0.246660E+06   0.328873E+06   0.328872E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245515E+06   0.245515E+06   0.877748E+00
   0.226528E-04   0.246660E+06   0.246660E+06   0.328873E+06   0.328872E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245515E+06   0.245515E+06   0.886569E+00
   0.228805E-04   0.246660E+06   0.246660E+06   0.328873E+06   0.328872E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245515E+06   0.245515E+06   0.895479E+00
   0.231104E-04   0.246660E+06   0.246660E+06   0.328873E+06   0.328872E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245515E+06   0.245515E+06   0.904479E+00
   0.233427E-04   0.246660E+06   0.246660E+06   0.328872E+06   0.328872E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245515E+06   0.245515E+06   0.913569E+00
   0.235773E-04   0.246660E+06   0.246660E+06   0.328872E+06   0.328871E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245515E+06   0.245515E+06   0.922751E+00
   0.238143E-04   0.246660E+06   0.246660E+06   0.328872E+06   0.328871E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245515E+06   0.245515E+06   0.932025E+00
   0.240536E-04   0.246660E+06   0.246660E+06   0.328872E+06   0.328871E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245515E+06   0.245515E+06   0.941392E+00
   0.242953E-04   0.246660E+06   0.246660E+06   0.328872E+06   0.328871E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245515E+06   0.245515E+06   0.950853E+00
   0.245395E-04   0.246660E+06   0.246660E+06   0.328872E+06   0.328871E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245515E+06   0.245515E+06   0.960409E+00
   0.247861E-04   0.246660E+06   0.246660E+06   0.328871E+06   0.328870E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.970061E+00
   0.250352E-04   0.246660E+06   0.246660E+06   0.328871E+06   0.328870E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.979811E+00
   0.252869E-04   0.246660E+06   0.246660E+06   0.328871E+06   0.328870E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.989658E+00
   0.255410E-04   0.246660E+06   0.246660E+06   0.328871E+06   0.328870E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.999604E+00
   0.257977E-04   0.246660E+06   0.246660E+06   0.328871E+06   0.328870E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.100965E+01
   0.260570E-04   0.246660E+06   0.246660E+06   0.328870E+06   0.328869E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.101980E+01
   0.263188E-04   0.246660E+06   0.246660E+06   0.328870E+06   0.328869E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.103005E+01
   0.265833E-04   0.246660E+06   0.246660E+06   0.328870E+06   0.328869E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.104040E+01
   0.268505E-04   0.246660E+06   0.246660E+06   0.328870E+06   0.328869E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.105085E+01
   0.271204E-04   0.246660E+06   0.246660E+06   0.328870E+06   0.328868E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.106142E+01
   0.273929E-04   0.246660E+06   0.246660E+06   0.328869E+06   0.328868E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.107208E+01
   0.276682E-04   0.246660E+06   0.246660E+06   0.328869E+06   0.328868E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.108286E+01
   0.279463E-04   0.246660E+06   0.246660E+06   0.328869E+06   0.328868E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.109374E+01
   0.282272E-04   0.246660E+06   0.246660E+06   0.328869E+06   0.328867E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.110473E+01
   0.285108E-04   0.246660E+06   0.246660E+06   0.328869E+06   0.328867E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.111583E+01
   0.287974E-04   0.246660E+06   0.246660E+06   0.328868E+06   0.328867E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.112705E+01
   0.290868E-04   0.246660E+06   0.246660E+06   0.328868E+06   0.328867E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.113838E+01
   0.293791E-04   0.246660E+06   0.246660E+06   0.328868E+06   0.328866E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.114982E+01
   0.296744E-04   0.246660E+06   0.246660E+06   0.328868E+06   0.328866E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.116137E+01
   0.299726E-04   0.246660E+06   0.246660E+06   0.328867E+06   0.328866E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.117304E+01
   0.302739E-04   0.246660E+06   0.246660E+06   0.328867E+06   0.328866E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.118483E+01
   0.305781E-04   0.246660E+06   0.246660E+06   0.328867E+06   0.328865E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.119674E+01
   0.308854E-04   0.246660E+06   0.246660E+06   0.328866E+06   0.328865E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.120877E+01
   0.311958E-04   0.246660E+06   0.246660E+06   0.328866E+06   0.328865E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604635E+00   0.245515E+06   0.245515E+06   0.122092E+01
   0.315094E-04   0.246660E+06   0.246660E+06   0.328866E+06   0.328864E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.123319E+01
   0.318260E-04   0.246660E+06   0.246660E+06   0.328866E+06   0.328864E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.124558E+01
   0.321459E-04   0.246660E+06   0.246660E+06   0.328865E+06   0.328864E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.125810E+01
   0.324690E-04   0.246660E+06   0.246660E+06   0.328865E+06   0.328863E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.127074E+01
   0.327953E-04   0.246660E+06   0.246660E+06   0.328865E+06   0.328863E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.128351E+01
   0.331249E-04   0.246660E+06   0.246660E+06   0.328864E+06   0.328863E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.129641E+01
   0.334578E-04   0.246660E+06   0.246660E+06   0.328864E+06   0.328862E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.130944E+01
   0.337940E-04   0.246660E+06   0.246660E+06   0.328864E+06   0.328862E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.132260E+01
   0.341337E-04   0.246660E+06   0.246660E+06   0.328863E+06   0.328861E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.133589E+01
   0.344767E-04   0.246660E+06   0.246659E+06   0.328863E+06   0.328861E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.134932E+01
   0.348232E-04   0.246660E+06   0.246659E+06   0.328863E+06   0.328861E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.136288E+01
   0.351732E-04   0.246660E+06   0.246659E+06   0.328862E+06   0.328860E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.137658E+01
   0.355267E-04   0.246660E+06   0.246659E+06   0.328862E+06   0.328860E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.139041E+01
   0.358838E-04   0.246660E+06   0.246659E+06   0.328862E+06   0.328860E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.140439E+01
   0.362444E-04   0.246660E+06   0.246659E+06   0.328861E+06   0.328859E+06   0.000000E+00   0.246659E+06   0.246659E+06   0.256638E+06  -0.604634E+00   0.245515E+06   0.245515E+06   0.141850E+01
   0.366086E-04   0.246659E+06   0.246659E+06   0.328861E+06   0.328859E+06   0.000000E+00   0.246659E+06   0.246659E+06   0.256638E+06  -0.604633E+00   0.245515E+06   0.245515E+06   0.143276E+01
