M200(Msun), Mstar_low(Msun, Mstar_high(Msun)
67581811.681611 8312.357353 19386.335015
69798139.078307 8730.650519 20356.888172
72087150.337821 9166.409224 21375.658466
74451229.107951 9627.654687 22445.215901
76892837.207583 10108.446130 23568.928248
79414517.190293 10616.813473 24747.580512
82018894.992022 11147.290982 25987.024043
84708682.665574 11707.594673 27285.888698
87486681.204799 12292.892442 28652.958540
90355783.461389 12910.438924 30084.284455
93318977.157332 13556.221725 31592.094584
96379347.996158 14236.859710 33169.376778
99540082.876215 14949.377739 34832.384310
102804473.209331 15699.553641 36570.490413
106175918.348300 16485.703046 38404.632463
109657929.126781 17312.522081 40319.941952
113254131.515281 18179.911746 42342.786326
116968270.397039 19091.205289 44453.343826
120804213.467733 20048.230541 46684.254919
124765955.263087 21052.630365 49009.938978
128857621.318552 22108.554295 51470.260393
133083472.465408 23215.574415 54032.969275
137447909.267754 24380.617633 56746.224821
141955476.605010 25600.744515 59571.922254
146610868.404698 26886.184188 62562.195912
151418932.530435 28230.976199 65678.376492
156384675.830225 29649.255350 68973.315508
161513269.350309 31131.452378 72409.741176
166810053.720006 32696.300506 76040.335107
172280544.713139 34329.944807 79829.801021
177930438.991858 36056.511009 83830.183058
183765620.038817 37857.080421 88008.824079
189792164.283910 39762.080303 92416.588518
196016347.431918 41746.639460 97024.216226
202444650.997680 43848.512924 101880.767763
209083769.055575 46038.291714 106961.240959
215940615.210357 48354.965352 112312.178960
223022329.796594 50771.190641 117913.810904
230336287.314213 53324.622001 123809.352098
237890104.107889 55990.717688 129985.358019
245691646.298279 58805.109992 136480.801400
253749037.973357 61746.924695 143289.790142
262070669.648386 64848.956704 150446.028245
270665207.003324 68095.015098 157952.542251
279541599.906787 71514.094541 165836.623336
288709091.735923 75095.874817 174111.731572
298177229.001967 78864.417796 182797.477700
307955871.291423 82816.657954 191919.426509
318055201.533291 86970.397012 201488.112977
328485736.603005 91331.433008 211543.040292
339258338.274099 95909.756787 222084.142369
350384224.529068 100721.895863 233166.861197
361874981.241128 105768.223617 244778.874721
373742574.239106 111078.156483 256993.732291
385999361.767978 116640.351019 269785.075240
398658107.358044 122499.606959 283246.894771
